x,y
0,20.64052345967664
1,9.001572083672233
2,16.787379841057394
3,31.40893199201458
4,29.675579901499674
5,3.2272212012358903
6,24.500884175255894
7,15.486427917023022
8,17.96781148206442
9,25.105985019383724
10,24.440435711608778
11,39.54273506962975
12,34.610377251469934
13,30.216750164928285
14,35.43863232745426
15,36.33674327374267
16,49.94079073157606
17,34.94841736234199
18,42.13067701650901
19,32.45904260698275
20,17.470101841659215
21,51.53618595440361
22,55.64436198859506
23,41.57834979593558
24,73.69754623987608
25,38.45634325401235
26,55.45758517301446
27,55.128161499741665
28,74.32779214358457
29,75.69358769900285
30,64.54947425696916
31,68.78162519602174
32,58.12214252369887
33,49.19203531776073
34,67.52087850673847
35,74.5634896910398
36,87.30290680727721
37,89.02379848784412
38,75.12673182592047
39,77.97697249424664
40,72.51447034932907
41,70.79982062821026
42,69.93729809374987
43,108.5077539523179
44,85.90347818248347
45,88.61925698388814
46,82.47204639950074
47,104.7749035583191
48,82.8610215244205
49,98.87259719786032
50,94.04533438806324
51,108.86902497859262
52,101.89194862431127
53,97.19367815877588
54,110.71817771661345
55,117.28331870530418
56,115.66517222383168
57,120.02471897739781
58,112.65677906319037
59,117.37258834012862
60,116.27539552224049
61,121.4044683845946
62,118.86853717955546
63,111.73717397668324
64,132.77426142253753
65,128.98219063791737
66,118.69801653033956
67,141.62782255525775
68,129.92701635616757
69,141.5194539579614
70,150.29090562177538
71,146.2898291075741
72,158.394006845433
73,136.65174179646348
74,155.0234164117755
75,146.15189909059686
76,146.29202850818118
77,151.21150335235583
78,155.88447467872626
79,161.56165342229747
80,151.34850159216643
81,174.00826486954188
82,171.6566243973046
83,153.63756313722777
84,185.882521937956
85,191.95889176030585
86,186.78779571159652
87,175.20075164187648
88,168.29247378489458
89,191.54451726931137
90,178.96823053026822
91,197.2244507038243
92,189.0827497807686
93,198.76639036483712
94,194.563663971744
95,200.0657316819195
96,195.1050002072082
97,214.85870493905836
98,200.2691209270362
99,205.01989363444702
